id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,You need to use brackets: my_list = [],
2,1493088154,35,1,Look it up in the Python docs,
3,1650473177,0,5,tedt,
4,1650477266,0,1,hjkg,
5,1650477266,0,1,new answer,
6,1650478249,0,1,asfasfas,
7,1650478311,0,1,aaassddd,
8,1650478311,0,2,new answer,
9,1650478665,0,3,this is my answer,
10,1650478759,0,2,asfasfas,
10,1650478853,0,3,hello,
10,1650478961,0,3,yoo my nigger,
10,1650478961,0,2,asfasfvxzv,
4,1650477266,0,1,hjkg,
5,1650477266,0,1,new answer,
6,1650478249,0,1,asfasfas,
7,1650478311,0,1,aaassddd,
8,1650478311,0,2,new answer,
9,1650478665,0,3,this is my answer,
10,1650478759,0,2,asfasfas,
10,1650478853,0,3,hello,
10,1650478961,0,3,yoo my nigger,
10,1650478961,0,2,asfasfvxzv,
10,1650485107,0,6,hhhh,
